question,type,answer1,answer2,answer3,answer4,level,comment
ぬこたんのブログの名称（ページタイトル名）はどれでしょう？,one_answer,陰陽座 『黒猫のねこまんま通信』,陰陽座 『黒猫の美味しいちゃん列伝』,陰陽座 『黒猫のHOT ROCKIN'』,陰陽座 『黒猫のまったり徒然草』,1,"「陰陽座 『黒猫のねこまんま通信』」です。
「本日のねこまんまは～」という下りで引用されたりしますね。
ちなみに、かつて英語名は「Kuroneko's Nekomamma Communications」と書かれていたこともあったのですが、今のデザインでは確認することが出来なくなっています。
正式名称は結構揺れていて、陰陽座公式庵TOPのバナーには「黒猫の『ねこまんま通信』」、ブログのヘッダ画像からは「陰陽座 KURONEKO ねこまんま通信」と記載されています。
ブログのRSSを監視し、記事が更新されたらTwitterで通知する仕組みを「ぬこたんBOT(*´Д`)ﾊｧﾊｧ」で行っていますので、よろしければこちらもどうぞ。
"
ぬこたんのブログのURLはどれでしょう？,one_answer,nekomamma.jugem.jp,nukomamma.jugem.jp,kuronekomamma.jugem.jp,krnk.jugem.jp,2,"「nekomamma.jugem.jp」です。
兄上の「まったり徒然草」は「m」a「t」a「t」a「b」iがサブドメインになっていますが、ぬこたんの場合はブログタイトルがそのままサブドメインとして使われています。ただし、「まんま」を「mamma」と表記しているので注意が必要です。
大手ブログサービス「Jugem」のプレミアムプランを使われていますが、無料プランでもサブドメインは自由に決めることができますので、「徒然なるぬこたん(*´Д`)ﾊｧﾊｧ」ではぬこたんに少しでも近づくためn「u」komamma.jugem.jpとしています。
ちなみにhttpsではアクセスできません。"
ぬこたんの出身地はどこでしょう？,one_answer,大阪,北海道,東京,愛知,1,"大阪出身です。
大阪公演ではぬこたんの関西弁が飛び出すとかなんとか。
陰陽座結成の地でもありますね。"
ブログでも紹介されたことのあるぬこたんの大好きな作家は誰でしょう？,one_answer,宮沢賢治,太宰治,夏目漱石,森鴎外,2,"宮沢賢治です。
「賢治」と下の名前で呼ぶほどのご執心ぷり。うらやましい限りです。"
ねこまんまブログ開始年はいつでしょう？,one_answer,2006年,2007年,2004年,2005年,1,"2006年5月31日20時57分に記念すべき最初の記事が投稿されました。
1つ目の記事の番号が14になっているので、未公表の記事がいくつか存在してそうです。"
山形で食べた美味しいちゃんはどれでしょう？,one_answer,芋煮,ずんだ餅,冷や汁,鯉こく,4,"芋煮です。
山形バージョンと福島バージョン存在するんですよね。"
盛岡で食べた美味しいちゃんはどれでしょう？,one_answer,冷麺,じゃじゃ麺,たんたん麺,ラー麺,4,"冷麺です。
さっぱりしていて辛さも程良く、とっても美味しかったとのことです。"
秋田で食べた美味しいちゃんはどれでしょう？,one_answer,きりたんぽ鍋,石焼き鍋,芋煮,冷麺,4,"きりたんぽ鍋です。
野菜や茸の旨味がたっぷり出たお出汁がしみた、もちもちのきりたんぽは最高に美味とのことです。"
秋田で食べた美味しいちゃんはどれでしょう？,one_answer,稲庭うどん,讃岐うどん,ほうとう,五島うどん,3,"稲庭うどんです。
喉ごしが良くてさっぱりしていてとても美味しかったとのことです。五島うどんは長崎で食されていましたね。"
青森で飲まれたリンゴジュースの銘柄はどれでしょう？,one_answer,JAアオレン,つがるの魂,ぽかぽかりんご,シェイニー,3,"JAアオレンです。
自然な甘さでさっぱりしていて、ごくごく飲めちゃいますそうです。"
札幌で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,きなチョコ黒大豆,酪農チーズプリン,バウムクーヘン 妖精の森,チョコモンブラン,4,"きなチョコ黒大豆です。
斗羅さん推薦で、きな粉風味のチョコレートと、中に入っている大豆の香ばしさがこれ以上無い程の絶妙さでマッチしていて美味だそうです。"
旭川で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,バナナ焼き,マリアテレサ,ぱんじゅう,特製スイートポテト,4,"バナナ焼きです。
バナナ型のカステラ風の生地の中に白餡が入ったお菓子とのことです。"
ぬこたんが好きな花の色は？,one_answer,青,赤,黄色,橙,2,"青い花が好きであることを何度かブログで言及しています。
矢車菊、勿忘草、苧環、月見草、紫陽花、サルビア・ガラニチカなど紹介されていますね。月見草はあの「月花」のモチーフになっているんですよ。"
甲府で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,信玄餅,笹だんご,あんころ餅,おやき,3,"信玄餅です。
きな粉と黒蜜の何とも言えない素朴な風味が最高だそうです。"
何度かゲスト出演したことのあるラジオ番組の名は？,one_answer,BEAT SHUFFLE,BLAST BEAT,SHUFFLE MIXTURE,HOT ROCKIN',2,"Nack5 BEAT SHUFFLEです。
パーソナリティは浅井さんです。「HOT ROCKIN'」は兄上とともに持っていた番組名です。"
宮崎で食べた美味しいちゃんを2つ選んでください。,two_answer,チキン南蛮,冷や汁,ういろう,ねりくり,4,"
「チキン南蛮」と「冷や汁」です。
特に、「冷や汁」はお家でも真似して作ってみようかな〜なんて思われたそうです。"
宮崎で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,蜜柑「南香」,ういろう,くじらようかん,チーズ饅頭,4,"蜜柑「南香」です。
緑でまあるい外観が可愛かったので、思わず自画像を描いて「黒猫蜜柑」にしてしまったそうです。
"
熊本で食べた美味しいちゃんはどれでしょう？,one_answer,辛子蓮根,いきなり団子,だご汁,赤ど漬,4,"辛子蓮根です。
かなりガツンとくる辛さでしたが、とっても美味しかったそうです。"
長崎で食べた美味しいちゃんはどれでしょう？,one_answer,五島うどん,具雑煮,ざくろなます,カラスミ,4,"五島うどんです。
冷や麦より少し太いくらいの麺で、のどごしが良くてすごく美味しかったそうです。"
ぬこたんはお酒が飲めますか？,one_answer,飲めません,飲めます,,,1,"ぬこたんは下戸です。
ちなみに煙草も吸いません。聖女ですから。"
大分で食べた美味しいちゃんはどれでしょう？,one_answer,関アジ・関サバ,がん汁,やせうま,白酒煮,3,"関アジ・関サバです。
身がプリプリで旨味が凝縮されている感じだったそうです。"
福岡で食べた美味しいちゃんはどれでしょう？,one_answer,もつ鍋,水炊き,床漬け,かます寿司,3,"もつ鍋です。
野菜たっぷりで、もつもあっさりしていて最高だったそうです。"
高地で食べた美味しいちゃんはどれでしょう？,one_answer,鰹のタタキ,おぶつ煮,鯨料理,ドロメ,3,"鰹のタタキです。
本場のタタキはすごく身がしまっている感じがするんですよね。"
ぬこたんの母上の出身はどこでしょう？,one_answer,徳島,神戸,愛媛,大阪,3,"徳島出身です。
ちなみに父方は栃木出身です。"
香川で食べた美味しいちゃんはどれでしょう？,one_answer,讃岐饂飩,おなぎめし,おいり,どじょう汁,3,"讃岐饂飩です。
饅頭王子ことﾏﾈｷｿが6件もリサーチしてくれていたそうです。"
ぬこたんの特に好きな動物はどれでしょう？,one_answer,蛙,うさぎ,ハムスター,ゾウ,1,"蛙です。
人形から本物に至るまで分け隔てなく愛されます。
"
ぬこたんは三国志に明るいですか？,one_answer,明るいです,明るくないです,謎に包まれています,,2,"日本の伝承・妖怪・幻想文学については比類なき知識を発揮しますが、三国志は明るくないようです。馬超は知っているようです。
"
長野で購入した調味料はどれでしょう？,one_answer,七味唐辛子,みりん,醤油,ターメリック,3,"善光寺の七味唐辛子です。
辛味と旨味が絶妙でほんとに美味しいのだそうです。"
新潟で食べた美味しいちゃんを2つ選んでください？,two_answer,のっぺ,へぎ蕎麦,しんこ,じんだ,4,"「のっぺ」と「へぎ蕎麦」です。
根菜中心の野菜や茸、蒲鉾等の煮物なのですが、優しいお味ですごく美味しかったそうです。"
ぬこたんの祖父の出身地はどこでしょう？,one_answer,栃木,東京,グンマー,神奈川,3,"栃木です。
ちなみに母方は徳島出身です。"
栃木で食べた美味しいちゃんはどれでしょう？,one_answer,餃子,しもつかれ,いとこ汁,ゆば,3,"餃子です。
浜松と何かと競い合っているあの餃子ですね。"
グンマーで食べた美味しいちゃんはどれでしょう？,one_answer,水沢うどん,磯部せんべい,おっきりこみ,やきもち,4,"水沢うどんです。
コシがあって喉ごしが良くて、とっても美味しかったそうです。
"
ぬこたんがプレイしたことのあるシューティングゲームはどれでしょう？,one_answer,グラディウス,パロディウス,バトルフィールド,エースコンバット,3,"グラディウス(PSP)です。
一度死んでもセーブ地点まで戻らず立て直しをしてクリアしましたが、その凄さがイマイチ分かっていないようです。
"
沖縄で食べた美味しいちゃんを2つ選んでください。,two_answer,沖縄そば,どぅるわかしー,ミミガー,いかすみ汁,4,「沖縄そば」と「どぅるわかしー」です。
沖縄で食べた美味しいちゃんを2つ選んでください。,two_answer,イラブチャー,スクガラス,チャンプルー,にんじんしりしりー,4,「イラブチャー」と「スクガラス」です。
沖縄で食べた美味しいちゃんを2つ選んでください。,two_answer,ナーベラー,海ブドウ,東道盆,ミヌダル,4,「ナーベラー」と「海ぶどう」です。
沖縄で入手したお茶はどれでしょう？,one_answer,さんぴん茶,椿茶,くみすくちん茶,ゴーヤー茶,4,"さんぴん茶です。
いわゆる「ジャスミン茶」なのですが、東京などで買う物より味が濃くて美味しいとのことです。"
蟒蛇万歳でぬこたんが持って踊っている瓶のお酒の名前は？,one_answer,妖命酒,養命酒,酔命酒,洋名酒,3,"妖命酒です。
実在するものではなく、式神倶楽部の企画で命名されたそうです。"
広島で食べた美味しいちゃんは？,one_answer,広島焼き,角寿司,たこめし,うずみ,3,広島焼きです。
広島で食べた美味しいちゃん（スウィーツ）を2つ選んでください。,one_answer,紅葉まんじゅう,桐葉菓,川通り餅,みせん煎餅,4,「紅葉まんじゅう」と「桐葉菓」です。
山口で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,外郎,宇いち饅頭,夏みかんようかん,はす餅,3,"外郎（ういろう）です。
豆子郎という外郎をいただいたそうです。"
ぬこたんが大好きな神戸のスポットを2つ選んでください。,one_answer,布引ハーブ園,六甲高山植物園,六甲アイランド,神戸ポートタワー,3,"「布引ハーブ園」と「六甲高山植物園」です。
自然に親しめる場所が大好きとのことです。"
神戸で食べた美味しいちゃんはどれでしょう？,one_answer,そばめし,いか飯,たこめし,ぼたん鍋,4,そばめしです。
ぬこたんが遠足でよく訪れていた大阪以外の県は？,one_answer,奈良,福井,滋賀,京都,3,"奈良です。
ぬこたんといえど子供のころは街の歴史や建造物の素晴らしさをしっかり理解出来ていなかったそうです。"
ぬこたんの伯母がいる県はどこでしょう？,one_answer,京都,福井,大阪,奈良,4,"京都です。
織物系を生業にしているとかなんとか。"
京都で食べた美味しいちゃんを2つ選んでください。,one_answer,万願寺唐辛子,賀茂茄子,ぶぶ漬け,にしんそば,4,「万願寺唐辛子」と「賀茂茄子」です。
ぬこたん作イラスト入り式神限定Tシャツの名前は？,one_answer,ほうこうくんTシャツ,けろやんTシャツ,あんしんくんTシャツ,おいしいちゃんTシャツ,3,"ほうこうくんTシャツです。
ｶﾙｶｿ氏が着るととても似合うそうです。"
ぬこたんが子供のころから夏休みに良く遊びに行っていた県は？,one_answer,福井,京都,奈良,滋賀,3,"福井です。
ご家族で海水浴によく行かれていたそうです。"
福井で食べた美味しいちゃんはどれでしょう？,one_answer,越前おろし蕎麦,かにめし,鯖寿司,ぼっかけ汁,4,"越前おろし蕎麦です。
コシがあってモチモチだそうです。"
福井で食べた美味しいちゃん（スウィーツ）はどれでしょう？,one_answer,羽二重餅,稲ほろり,あわら温泉ぱん,まきばのシュークリーム,3,羽二重餅です。
金沢で食べた美味しいちゃん（スウィーツ）を2つ選んでください。,two_answer,落雁,五郎島金時,栗天真,うら田,3,「落雁」と「五郎島金時」です。
富山で食べた美味しいちゃんはどれでしょう？,one_answer,ますの寿司,いとこ煮,おかき,けんちん汁,4,"ますの寿司です。
子供のころから大好きだったそうです。"
ぬこたんが訪れたことのあるダムはどこでしょう？,one_answer,黒部ダム,九頭竜ダム,徳山ダム,阿武川ダム,3,"黒部ダムです。
雄大な立山連峰と大迫力のダムの偉容に息を飲んだそうです。"
ぬこたんは2013年までに何度欧州ツアーを行っているでしょうか？,one_answer,"2回
",1回,3回,4回,1,"2回です。
2005年、2006年で敢行されています。2005年のほうは「百の鬼が欧州を行く」というドキュメンタリー本も出ています。"
ぬこたんは乗り物に強い？弱い？,one_answer,弱い,強い,言及されていない,,2,"弱いです。
飛行機恐怖症とのことですが、欧州ツアーでなんとか克服をしたようです。"
フランスで食べた美味しいちゃんはどれでしょう？,one_answer,ムサカ,ポトフ,テリーヌ,チコリー,4,"ムサカです。
茄子と挽肉の重ね焼き（ラザニアみたいな感じ）とのことです。"
ぬこたんがブログで紹介している好きな漫画はどれでしょう？,one_answer,のだめカンタービレ,魁!!男塾,ゴルゴ13,サンクチュアリ,1,"のだめカンタービレです。
ぬこたんはクラシックも好んでお聞きになり造詣も深いそうです。"
